# --------------------------------------------------------------------
# DATA PRODUCT
#
# NOAA Greenhouse Gas Marine Boundary Layer Reference
#
# Atmospheric methane mole fractions derived
# from the NOAA GML Carbon Cycle Cooperative Global Air
# Sampling Network.
#
# CH4 data in this file are on the X2004A scale.
#
# Reference produced by gml.noaa.gov/ccgg/GHGreference/.
#
# File Creation: 2024-04-16T07:38:25
#
# --------------------------------------------------------------------
# DATA SOURCE AND CONTACTS
#
# National Oceanic and Atmospheric Administration (NOAA)
# Global Monitoring Laboratory (GML)
# Carbon Cycle Greenhouse Gases (CCGG)
#
# Correspondence concerning these data should be directed to:
#
# Xin Lan
# NOAA Global Monitoring Laboratory
# 325 Broadway, GML-1
# Boulder, CO  80305
# U.S.A.
#
# email:    Xin.Lan@noaa.gov
#
# --------------------------------------------------------------------
# USE OF DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# assure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# insure that the quality and limitations of the data are accurately
# represented.
#
# --------------------------------------------------------------------
# CITATION
#
# Please reference these data as
#
#   Lan, X., Tans, P., Thoning, K., & NOAA Global Monitoring Laboratory. (2023).
#   NOAA Greenhouse Gas Marine Boundary Layer Reference - CH4. [Data set]. NOAA GML.
#   https://doi.org/10.15138/TJPQ-0D69
#
# --------------------------------------------------------------------
# PRODUCT CONSTRAINTS
#
#            Date Range: 2000-01-01, 2023-01-01
# Degree Latitude Range: -5.0000, 5.0000
#   Sine Latitude Range: -0.087156, 0.087156
#
# --------------------------------------------------------------------
# NOAA GREENHOUSE GAS MBL ZONAL REFERENCE
#
# year month day decimal_date value uncertainty
2000 01 01   2000.000000   1752.5439      3.8116
2000 01 08   2000.020833   1753.2927      3.9541
2000 01 16   2000.041667   1754.8164      4.0101
2000 01 23   2000.062500   1757.0081      4.1029
2000 01 31   2000.083333   1759.6102      4.2926
2000 02 08   2000.104167   1762.2002      4.6400
2000 02 15   2000.125000   1764.4570      5.1149
2000 02 23   2000.145833   1766.1353      5.4706
2000 03 02   2000.166667   1767.0573      6.3691
2000 03 09   2000.187500   1767.5346      6.4791
2000 03 17   2000.208333   1767.6427      6.3714
2000 03 24   2000.229167   1767.6467      5.9636
2000 04 01   2000.250000   1767.6842      5.3058
2000 04 09   2000.270833   1767.8406      4.5178
2000 04 16   2000.291667   1768.0460      2.8453
2000 04 24   2000.312500   1768.0321      3.0558
2000 05 01   2000.333333   1767.4617      3.2319
2000 05 09   2000.354167   1766.0844      3.1763
2000 05 17   2000.375000   1763.7930      2.8670
2000 05 24   2000.395833   1760.6574      2.5311
2000 06 01   2000.416667   1756.9436      4.1093
2000 06 09   2000.437500   1753.1838      3.5471
2000 06 16   2000.458333   1749.7100      3.2505
2000 06 24   2000.479167   1746.9214      3.0877
2000 07 02   2000.500000   1745.0555      2.3872
2000 07 09   2000.520833   1744.2536      2.0070
2000 07 17   2000.541667   1744.2479      2.1406
2000 07 24   2000.562500   1745.8940      2.5144
2000 08 01   2000.583333   1747.6062      2.4971
2000 08 09   2000.604167   1748.9882      2.7188
2000 08 16   2000.625000   1749.7772      2.9448
2000 08 24   2000.645833   1749.9170      3.0430
2000 09 01   2000.666667   1749.5290      3.0003
2000 09 08   2000.687500   1748.8403      2.8644
2000 09 16   2000.708333   1748.1151      2.6886
2000 09 23   2000.729167   1747.5381      2.5437
2000 10 01   2000.750000   1747.2129      2.4302
2000 10 09   2000.770833   1747.1410      2.3701
2000 10 16   2000.791667   1747.2453      2.3496
2000 10 24   2000.812500   1747.4626      2.2429
2000 10 31   2000.833333   1747.6415      2.1610
2000 11 08   2000.854167   1747.7735      1.9882
